Freq,X,Y,Z
2719.79,0.003,0.008,0.002
2723.03,0.002,0.008,0.002
2726.27,0.003,0.008,0.002
2729.51,0.002,0.007,0.002
2732.75,0.002,0.007,0.002
2735.99,0.003,0.009,0.002
2739.24,0.003,0.008,0.002
2742.48,0.002,0.007,0.001
2745.72,0.002,0.007,0.002
2748.96,0.003,0.007,0.002
2752.2,0.002,0.007,0.002
2755.44,0.003,0.008,0.001
2758.69,0.003,0.007,0.002
2761.93,0.002,0.007,0.002
2765.17,0.002,0.005,0.001
2768.41,0.002,0.005,0.001
2771.65,0.002,0.004,0.001
2774.89,0.002,0.004,0.001
2778.14,0.001,0.003,0.001
2781.38,0.002,0.003,0.001
2784.62,0.001,0.003,0.001
2787.86,0.001,0.004,0.001
2791.1,0.002,0.004,0.001
2794.34,0.002,0.004,0.001
2797.59,0.002,0.005,0.002
2800.83,0.003,0.004,0.002
2804.07,0.002,0.005,0.002
2807.31,0.001,0.005,0.001
2810.55,0.001,0.004,0.001
2813.79,0.001,0.004,0.001
2817.04,0.001,0.004,0.001
2820.28,0.001,0.004,0.001
2823.52,0.001,0.004,0.001
2826.76,0.001,0.004,0.001
2830,0.001,0.004,0.001
2833.25,0.001,0.003,0.001
2836.49,0.001,0.004,0.001
2839.73,0.001,0.003,0.001
2842.97,0.001,0.003,0.001
2846.21,0.001,0.003,0.001
2849.45,0.002,0.004,0.001
2852.7,0.002,0.004,0.002
2855.94,0.001,0.004,0.001
2859.18,0.001,0.004,0.002
2862.42,0.001,0.004,0.002
2865.66,0.001,0.004,0.002
2868.9,0.001,0.004,0.001
2872.15,0.001,0.004,0.002
2875.39,0.001,0.005,0.002
2878.63,0.001,0.005,0.002
2881.87,0.001,0.006,0.002
2885.11,0.001,0.006,0.002
2888.35,0.001,0.006,0.002
2891.6,0.001,0.006,0.002
2894.84,0.001,0.005,0.002
2898.08,0.001,0.004,0.001
2901.32,0.002,0.003,0.001
2904.56,0.002,0.004,0.001
2907.8,0.001,0.003,0.001
2911.05,0.001,0.004,0.001
2914.29,0.001,0.005,0.002
2917.53,0.001,0.004,0.002
2920.77,0.001,0.004,0.001
2924.01,0.001,0.004,0.001
2927.25,0.001,0.003,0.001
2930.5,0.001,0.003,0.001
2933.74,0.001,0.004,0.001
2936.98,0.001,0.004,0.001
2940.22,0.001,0.004,0.001
2943.46,0.001,0.003,0.001
2946.7,0.001,0.003,0.001
2949.95,0.001,0.003,0.001
2953.19,0.002,0.004,0.001
2956.43,0.003,0.004,0.001
2959.67,0.002,0.003,0.001
2962.91,0.001,0.003,0.001
2966.15,0.001,0.003,0.001
2969.4,0.001,0.004,0.001
2972.64,0.001,0.004,0.001
2975.88,0.001,0.004,0.001
2979.12,0.001,0.004,0.001
2982.36,0.001,0.004,0.001
2985.6,0.001,0.004,0.001
2988.85,0.001,0.003,0.001
2992.09,0.001,0.003,0.001
2995.33,0.001,0.003,0.001
2998.57,0.001,0.003,0.001
3001.81,0.001,0.003,0.001
3005.06,0.002,0.003,0.001
3008.3,0.003,0.003,0.001
3011.54,0.002,0.003,0.001
3014.78,0.001,0.003,0.001
3018.02,0.001,0.003,0.001
3021.26,0.001,0.004,0.001
3024.51,0.001,0.004,0.001
3027.75,0.001,0.004,0.001
3030.99,0.001,0.004,0.001
3034.23,0.001,0.004,0.001
3037.47,0.001,0.004,0.001
3040.71,0.001,0.004,0.001
3043.96,0.001,0.004,0.001
3047.2,0.001,0.003,0.001
3050.44,0.001,0.003,0.001
3053.68,0.001,0.003,0.001
3056.92,0.001,0.003,0.001
3060.16,0.002,0.003,0.001
3063.41,0.001,0.003,0.001
3066.65,0.001,0.003,0.001
3069.89,0.001,0.004,0.001
3073.13,0.001,0.003,0.001
3076.37,0.001,0.003,0.001
3079.61,0.001,0.003,0.001
3082.86,0.001,0.003,0.001
3086.1,0.001,0.003,0.001
3089.34,0.001,0.003,0.001
3092.58,0.001,0.003,0.001
3095.82,0.001,0.003,0.001
3099.06,0.001,0.002,0.001
3102.31,0.001,0.002,0.001
3105.55,0.001,0.002,0.001
3108.79,0.001,0.003,0.001
3112.03,0.002,0.002,0.001
3115.27,0.001,0.002,0.001
3118.51,0.001,0.002,0.001
3121.76,0.001,0.002,0.001
3125,0,0.002,0.001
3128.24,0.001,0.002,0.001
3131.48,0.001,0.002,0.001
3134.72,0.001,0.001,0.001
3137.96,0.001,0.002,0
3141.21,0,0.001,0
3144.45,0,0.001,0.001
3147.69,0.001,0.001,0
3150.93,0,0.001,0
3154.17,0,0.001,0
3157.42,0,0.002,0
3160.66,0.001,0.001,0
3163.9,0.002,0.001,0
3167.14,0.001,0.001,0
3170.38,0,0.001,0
3173.62,0,0.001,0
3176.87,0,0.001,0
3180.11,0,0.001,0
3183.35,0,0.001,0
3186.59,0,0.001,0
3189.83,0,0.001,0
3193.07,0,0.001,0
3196.32,0,0.001,0
3199.56,0,0.001,0
3202.8,0,0.001,0
3206.04,0,0.001,0
3209.28,0,0.001,0
3212.52,0.001,0.001,0
3215.77,0.001,0.001,0
3219.01,0.001,0.001,0
3222.25,0,0.001,0
3225.49,0,0.001,0
3228.73,0,0.001,0
3231.97,0,0.001,0
3235.22,0,0.001,0
3238.46,0,0.001,0

