Freq,X,Y,Z
690.48,0.035,0.03,0.073
693.72,0.037,0.029,0.07
696.97,0.035,0.026,0.064
700.21,0.032,0.022,0.06
703.45,0.029,0.022,0.054
706.69,0.028,0.022,0.049
709.93,0.023,0.019,0.04
713.17,0.022,0.026,0.048
716.42,0.018,0.024,0.042
719.66,0.014,0.022,0.035
722.9,0.016,0.027,0.04
726.14,0.018,0.031,0.045
729.38,0.02,0.036,0.051
732.62,0.022,0.039,0.054
735.87,0.02,0.037,0.049
739.11,0.019,0.039,0.05
742.35,0.02,0.042,0.053
745.59,0.018,0.039,0.05
748.83,0.017,0.038,0.046
752.07,0.018,0.038,0.046
755.32,0.016,0.032,0.037
758.56,0.018,0.033,0.037
761.8,0.017,0.026,0.027
765.04,0.019,0.028,0.027
768.28,0.023,0.033,0.028
771.52,0.023,0.032,0.027
774.77,0.024,0.037,0.031
778.01,0.025,0.042,0.035
781.25,0.021,0.038,0.032
784.49,0.021,0.039,0.033
787.73,0.019,0.037,0.03
790.97,0.017,0.036,0.03
794.22,0.017,0.038,0.033
797.46,0.019,0.044,0.037
800.7,0.017,0.045,0.036
803.94,0.016,0.043,0.033
807.18,0.015,0.043,0.033
810.42,0.014,0.041,0.03
813.67,0.014,0.041,0.029
816.91,0.014,0.042,0.029
820.15,0.017,0.052,0.034
823.39,0.015,0.046,0.03
826.63,0.016,0.055,0.033
829.88,0.017,0.062,0.038
833.12,0.018,0.06,0.038
836.36,0.02,0.059,0.039
839.6,0.02,0.061,0.041
842.84,0.016,0.056,0.036
846.08,0.018,0.076,0.048
849.33,0.017,0.079,0.048
852.57,0.014,0.054,0.032
855.81,0.014,0.055,0.029
859.05,0.013,0.06,0.033
862.29,0.014,0.059,0.032
865.53,0.014,0.054,0.024
868.78,0.012,0.039,0.016
872.02,0.011,0.029,0.011
875.26,0.011,0.022,0.01
878.5,0.011,0.019,0.01
881.74,0.011,0.018,0.011
884.98,0.014,0.015,0.009
888.23,0.016,0.016,0.009
891.47,0.016,0.019,0.009
894.71,0.02,0.019,0.012
897.95,0.035,0.04,0.03
901.19,0.032,0.038,0.027
904.43,0.018,0.026,0.011
907.68,0.014,0.029,0.011
910.92,0.012,0.028,0.01
914.16,0.011,0.024,0.01
917.4,0.012,0.03,0.012
920.64,0.011,0.037,0.014
923.88,0.012,0.045,0.015
927.13,0.011,0.041,0.013
930.37,0.009,0.032,0.011
